Threshold, Pixels, dV
6453.0 , 13, 0.0
6463.0 , 13, 0.0
6473.0 , 13, 0.0
6483.0 , 13, 0.0
6493.0 , 13, 0.0
6503.0 , 12, 0.0
6513.0 , 12, 0.0
6523.0 , 12, 0.0
6533.0 , 12, 0.0
6543.0 , 11, 0.0
6553.0 , 11, 0.0
6563.0 , 11, 0.0
6573.0 , 11, 0.0
6583.0 , 11, 0.0
6593.0 , 11, 0.0
6603.0 , 11, 0.0
6613.0 , 11, 0.0
6623.0 , 11, 0.0
6633.0 , 11, 0.0
6643.0 , 11, 0.0
6653.0 , 10, 0.0
6663.0 , 10, 0.0
6673.0 , 9, 0.0
6683.0 , 9, 0.0
6693.0 , 9, 0.0
6703.0 , 9, 0.0
6713.0 , 8, 0.0
6723.0 , 8, 0.0
6733.0 , 8, 0.0
6743.0 , 8, 0.0
6753.0 , 8, 0.0
6763.0 , 8, 0.0
6773.0 , 8, 0.0
6783.0 , 8, 0.0
6793.0 , 7, 0.0
6803.0 , 6, 0.0
6813.0 , 6, 0.0
6823.0 , 6, 0.0
6833.0 , 6, 0.0
6843.0 , 6, 0.0
6853.0 , 5, 0.0
6863.0 , 5, 0.0
6873.0 , 4, 0.0
6883.0 , 4, 0.0
6893.0 , 4, 0.0
6903.0 , 4, 0.0
6913.0 , 4, 0.0
6923.0 , 3, 0.0
6933.0 , 3, 0.0
6943.0 , 2, 0.0
6953.0 , 2, 0.0
6963.0 , 2, 0.0
6973.0 , 2, 0.0
6983.0 , 2, 0.0
6993.0 , 2, 0.0
7003.0 , 2, 0.0
7013.0 , 2, 0.0
7023.0 , 2, 0.0
7033.0 , 2, 0.0
7043.0 , 2, 0.0
7053.0 , 2, 0.0
7063.0 , 2, 0.0
7073.0 , 2, 0.0
7083.0 , 2, 0.0
7093.0 , 2, 0.0
7103.0 , 2, 0.0
7113.0 , 2, 0.0
7123.0 , 2, 0.0
7133.0 , 2, 0.0
7143.0 , 2, 0.0
7153.0 , 2, 0.0
7163.0 , 2, 0.0
7173.0 , 2, 0.0
7183.0 , 2, 0.0
7193.0 , 2, 0.0
7203.0 , 1, 0.0
7213.0 , 1, 0.0
7223.0 , 1, 0.0

